"Timestamp","How old are you?","What is your gender?","How many kids do you have?","Do you study?","Do you work?","How often do you exercise in a week?","How often do you watch the news?","How many litres of water do you drink per day? ","How many hours before sleep is your last meal?","Are there any medications prescribed for you?","How much do you usually drink (alcohol)?","Please state which of the following activities do you usually do just before you go off to sleep?","At what time do you usually fall asleep?","At what time do you usually get up in the morning?","I have difficulty falling asleep?","I wake up in the middle of the night","I feel refreshed after sleep","I am satisfied with my sleep","How many hours do you sleep? (Hours)","How long does it take you to fall asleep?  (Hours)","I am a sentimental person","I am often worried about the future ","I think I am experiencing depression","I don't fully enjoy happy moments","I think I suffer from anxiety","How likely you have negative thoughts while trying to fall asleep?","Do you smoke?","How many years have you been smoking?","How many cigarettes do you usually smoke during the week?","Cigarettes help me deal with anxiety or worry","I sleep better when I smoke before going to bed","How likely are you to smoke seeing someone smoke?"
"2020/12/27 9:26:38 am CET","21","Female","0","Yes","Yes","2","2","1.5","2 hours","No","1","Check email;Watch social media","00:00","06:20","1","2","2","2","06:20:00","00:05:00","4","4","3","3","3","2","No","","","","",""
"2020/12/27 9:28:26 am CET","22","Male","0","No","Yes","2","2","1","More than 3 hours","No","1","Watch social media;Read books","23:59","08:00","3","2","2","3","07:00:00","01:00:00","2","3","2","3","2","1","No","","","","",""
"2020/12/27 9:28:54 am CET","21","Male","0","Yes","Yes","3","5","1.5","1 hour","Yes","2","Check email;Watch social media;Watch TV;Evening walk","00:00","08:00","3","1","4","4","08:00:00","01:00:00","4","3","3","3","2","3","No","","","","",""
"2020/12/27 9:34:32 am CET","22","Male","0","Yes","Yes","3","2","2.5","More than 3 hours","No","1","Watch social media;Watch TV;Read books","23:30","06:20","2","1","3","3","06:40:00","00:30:00","4","4","3","1","2","2","No","","","","",""
"2020/12/27 9:38:18 am CET","21","Male","0","No","Yes","3","5","3","1 hour","Yes","1","Check email;Watch social media;Read books;Play games on a screen;Evening walk","00:00","07:00","2","1","2","2","07:00:00","00:30:00","1","5","3","2","4","3","No","","","","",""
"2020/12/27 9:52:17 am CET","22","Male","0","No","Yes","3","1","4","More than 3 hours","No","1","Evening walk","23:00","06:00","1","1","5","5","07:00:00","00:30:00","3","4","1","2","1","1","Yes","5","4","1","1","1"
"2020/12/27 9:54:08 am CET","22","Male","0","Yes","No","2","4","1.5","More than 3 hours","No","1","Check email;Watch social media;Play games on a screen","01:00","07:30","1","1","4","4","06:30:00","00:15:00","2","2","2","1","2","1","No","","","","",""
"2020/12/27 9:56:10 am CET","22","Female","0","Yes","No","1","2","1","3 hours","No","3","Check email;Watch social media","00:00","08:00","3","1","4","4","08:00:00","00:10:00","5","5","5","3","4","3","No","","","","",""
"2020/12/27 9:59:16 am CET","22","Male","0","Yes","Yes","1","2","3","2 hours","No","2","Check email;Watch social media;Read books;Play games on a screen","00:00","08:00","3","2","3","3","08:00:00","01:00:59","3","3","1","4","3","4","Yes","1","2","4","2","5"
"2020/12/27 10:09:00 am CET","22","Male","0","Yes","No","2","2","3","3 hours","No","1","Watch TV;Play games on a screen","00:00","08:30","2","2","3","3","06:30:00","00:15:00","2","4","3","4","4","1","No","","","","",""
